Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
AAAS	gene	AAAS	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	BIALLELIC, autosomal or pseudoautosomal	Achalasia-addisonianism-alacrimia syndrome						False	3	0;0;0	0.280	False		ENSG00000094914	ENSG00000094914	HGNC:13666													
AARS	gene	AARS	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Charcot-Marie-Tooth disease						False	3	0;0;0	0.280	False		ENSG00000090861	ENSG00000090861	HGNC:20													
ABCA12	gene	ABCA12	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	BIALLELIC, autosomal or pseudoautosomal	Ichthyosis, congenital, autosomal recessive						False	3	0;0;0	0.280	False		ENSG00000144452	ENSG00000144452	HGNC:14637													
ABCA3	gene	ABCA3	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	BIALLELIC, autosomal or pseudoautosomal	Surfactant metabolism dysfunction, pulmonary, 3						False	3	0;0;0	0.280	False		ENSG00000167972	ENSG00000167972	HGNC:33													
ABCA4	gene	ABCA4	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	BIALLELIC, autosomal or pseudoautosomal	Stargardt disease						False	3	0;0;0	0.280	False		ENSG00000198691	ENSG00000198691	HGNC:34													
ABCB11	gene	ABCB11	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	BIALLELIC, autosomal or pseudoautosomal	Cholestasis, progressive familial intrahepatic 2						False	3	0;0;0	0.280	False		ENSG00000073734	ENSG00000073734	HGNC:42													
ABCB4	gene	ABCB4	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	BIALLELIC, autosomal or pseudoautosomal	Cholestasis, progressive familial intrahepatic 3						False	3	0;0;0	0.280	False		ENSG00000005471	ENSG00000005471	HGNC:45													
ABCC2	gene	ABCC2	BabySeq Category C gene;Expert Review Green	Additional findings_Paediatric		Screening	BIALLELIC, autosomal or pseudoautosomal	Dubin-Johnson syndrome, MIM# 237500				30344695;11477083		False	3	100;0;0	0.280	True		ENSG00000023839	ENSG00000023839	HGNC:53													
ABCC6	gene	ABCC6	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	BIALLELIC, autosomal or pseudoautosomal	Pseudoxanthoma elasticum						False	3	0;0;0	0.280	False		ENSG00000091262	ENSG00000091262	HGNC:57													
ABCC8	gene	ABCC8	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	BIALLELIC, autosomal or pseudoautosomal	Hyperinsulinemic hypoglycemia, familial						False	3	0;0;0	0.280	False		ENSG00000006071	ENSG00000006071	HGNC:59													
