Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ACTA2	gene	ACTA2	Expert Review Green;Victorian Clinical Genetics Services	Incidentalome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Aortic aneurysm, familial thoracic 6, MIM# 611788;Multisystemic smooth muscle dysfunction syndrome, MIM# 613834				30724374		False	3	100;0;0	0.430	True		ENSG00000107796	ENSG00000107796	HGNC:130													
ANXA11	gene	ANXA11	Expert list;Expert Review Green	Incidentalome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Inclusion body myopathy and brain white matter abnormalities, MIM# 619733;Amyotrophic lateral sclerosis 23, MIM# 617839				28469040;29845112;30109997;34048612		False	3	100;0;0	0.430	True		ENSG00000122359	ENSG00000122359	HGNC:535													
APC	gene	APC	Expert Review Green;Victorian Clinical Genetics Services	Incidentalome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Adenomatous polyposis coli, MIM# 175100						False	3	100;0;0	0.430	True		ENSG00000134982	ENSG00000134982	HGNC:583													
APOB	gene	APOB	Expert Review Green;Melbourne Genomics Health Alliance;Victorian Clinical Genetics Services	Incidentalome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Hypercholesterolemia, familial, 2, MIM# 144010						False	3	100;0;0	0.430	True		ENSG00000084674	ENSG00000084674	HGNC:603													
APOE	gene	APOE	Expert Review Green;Melbourne Genomics Health Alliance Complex Neurology Flagship;Victorian Clinical Genetics Services	Incidentalome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Alzheimer disease 2, MIM# 104310;Hyperlipoproteinemia, type III (MIM#617347);Sea-blue histiocyte disease (MIM#269600)				27014949;34058468;33679311;33679311		False	3	33;67;0	0.430	True		ENSG00000130203	ENSG00000130203	HGNC:613													
APP	gene	APP	Expert Review Green;Victorian Clinical Genetics Services	Incidentalome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Alzheimer's Disease (MIM#104300)				17121991;1520398;15365148;15668448;1671712;1678058		False	3	100;0;0	0.430	True	Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments	ENSG00000142192	ENSG00000142192	HGNC:620													
ATP13A2	gene	ATP13A2	Expert Review Green;Melbourne Genomics Health Alliance Complex Neurology Flagship;Victorian Clinical Genetics Services	Incidentalome			BIALLELIC, autosomal or pseudoautosomal	Kufor-Rakeb syndrome, MIM# 606693						False	3	100;0;0	0.430	True		ENSG00000159363	ENSG00000159363	HGNC:30213													
ATP7B	gene	ATP7B	Expert Review Green;Expert Review Red;Melbourne Genomics Health Alliance;Victorian Clinical Genetics Services	Incidentalome			BIALLELIC, autosomal or pseudoautosomal	Wilson Disease (MONDO:0010200;MIM #277900)				8298639;9554743;10790207;7626145;16133174		False	3	67;0;33	0.430	False		ENSG00000123191	ENSG00000123191	HGNC:870													
BAP1	gene	BAP1	Expert list;Expert Review Green	Incidentalome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Tumor predisposition syndrome, MIM# 614327				21941004;23684012;21874000;21874003		False	3	100;0;0	0.430	True		ENSG00000163930	ENSG00000163930	HGNC:950													
BARD1	gene	BARD1	Expert list;Expert Review;Expert Review Green	Incidentalome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Breast cancer, MONDO:0007254;BARD1-related cancer predisposition, MONDO:0700267;Breast cancer, susceptibility to, MIM#114480						False	3	100;0;0	0.430	False		ENSG00000138376	ENSG00000138376	HGNC:952													
