Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
A4GALT	gene	A4GALT	Expert Review Green;Victorian Clinical Genetics Services	Mendeliome			BIALLELIC, autosomal or pseudoautosomal	A4GALT-congenital disorder of glycosylation MONDO:0100587				12823750;15142124;10747952;10993874;11896312;27612185		False	3	50;0;50	1.4452	True		ENSG00000128274	ENSG00000128274	HGNC:18149													
AAAS	gene	AAAS	Expert list;Expert Review Green;Victorian Clinical Genetics Services	Mendeliome			BIALLELIC, autosomal or pseudoautosomal	Achalasia-addisonianism-alacrimia syndrome, MIM#231550						False	3	100;0;0	1.4452	True		ENSG00000094914	ENSG00000094914	HGNC:13666													
AAGAB	gene	AAGAB	Expert Review Green;Victorian Clinical Genetics Services	Mendeliome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Keratoderma, palmoplantar, punctate type IA (MIM#148600)				30451279;26608363		False	3	100;0;0	1.4452	True		ENSG00000103591	ENSG00000103591	HGNC:25662													
AARS	gene	AARS	Expert Review Green;Victorian Clinical Genetics Services	Mendeliome			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Epileptic encephalopathy, early infantile, 29, MIM# 616339;Charcot-Marie-Tooth disease, axonal, type 2N, MIM# 613287;Spastic paraplegia 85, autosomal recessive, MIM# 619686;Ataxia, sensory, 1, autosomal dominant, MIM# 608984;Leukoencephalopathy, hereditary diffuse, with spheroids 2, MIM# 619661				31775912;28493438;25817015;20045102;22009580;22206013;30373780;26032230;33909043		False	3	100;0;0	1.4452	True		ENSG00000090861	ENSG00000090861	HGNC:20													
AARS2	gene	AARS2	Expert Review Green;Victorian Clinical Genetics Services	Mendeliome			BIALLELIC, autosomal or pseudoautosomal	Combined oxidative phosphorylation deficiency 8 MIM#614096;Leukoencephalopathy, progressive, with ovarian failure MIM#615889;MONDO:0013570				30706699;27839525;21549344;25058219;24808023		False	3	100;0;0	1.4452	True		ENSG00000124608	ENSG00000124608	HGNC:21022													
ABAT	gene	ABAT	Expert list;Expert Review Green;Victorian Clinical Genetics Services	Mendeliome			BIALLELIC, autosomal or pseudoautosomal	GABA-transaminase deficiency, MIM# 613163;mtDNA depletion syndrome (MDS)				25738457;27903293;28411234;27596361;20052547;10407778;6148708		False	3	100;0;0	1.4452	True		ENSG00000183044	ENSG00000183044	HGNC:23													
ABCA1	gene	ABCA1	Expert Review Green;Victorian Clinical Genetics Services	Mendeliome			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Tangier disease, MIM# 205400;HDL deficiency, familial, 1, MIM# 604091				10431237;10431236		False	3	100;0;0	1.4452	True		ENSG00000165029	ENSG00000165029	HGNC:29													
ABCA12	gene	ABCA12	Expert Review Green;Victorian Clinical Genetics Services	Mendeliome			BIALLELIC, autosomal or pseudoautosomal	Ichthyosis, congenital, autosomal recessive 4A (MIM#601277);Ichthyosis, congenital, autosomal recessive 4B (harlequin) (MIM#242500)				31168818;19664001;31489029		False	3	100;0;0	1.4452	True		ENSG00000144452	ENSG00000144452	HGNC:14637													
ABCA2	gene	ABCA2	Expert Review;Expert Review Green	Mendeliome			BIALLELIC, autosomal or pseudoautosomal	Intellectual developmental disorder with poor growth and with or without seizures or ataxia, 618808				30237576;29302074;31047799		False	3	100;0;0	1.4452	True		ENSG00000107331	ENSG00000107331	HGNC:32													
ABCA3	gene	ABCA3	Expert Review Green;Victorian Clinical Genetics Services	Mendeliome			BIALLELIC, autosomal or pseudoautosomal	Surfactant metabolism dysfunction, pulmonary, 3, MIM# 610921				15044640		False	3	100;0;0	1.4452	True		ENSG00000167972	ENSG00000167972	HGNC:33													
ABCA4	gene	ABCA4	Expert Review Green;Victorian Clinical Genetics Services	Mendeliome			BIALLELIC, autosomal or pseudoautosomal	Cone-rod dystrophy 3, 604116;Fundus flavimaculatus, 248200;Retinal dystrophy, early-onset severe, 248200;Retinitis pigmentosa 19, 601718;Stargardt disease 1, 248200				9054934;30480703;29847635;29971439;16103129;30643219		False	3	100;0;0	1.4452	True		ENSG00000198691	ENSG00000198691	HGNC:34													
ABCB11	gene	ABCB11	Expert Review Green;NHS GMS;Victorian Clinical Genetics Services	Mendeliome			BIALLELIC, autosomal or pseudoautosomal	Cholestasis, progressive familial intrahepatic 2, MIM# 601847;Cholestasis, benign recurrent intrahepatic, 2, MIM# 605479				16871584;23141890;9806540;15300568;11172067		False	3	100;0;0	1.4452	True		ENSG00000073734	ENSG00000073734	HGNC:42													
ABCB4	gene	ABCB4	Expert Review Green;NHS GMS	Mendeliome			BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal	Progressive familial intrahepatic cholestasis type 3, MONDO:0011214;Cholestasis, intrahepatic, of pregnancy, 3 MIM#614972;disorder of bile acid metabolism;Gallbladder disease 1 (MIM#600803)				8666348;17726488;18482588;28924228;32376413;9419367;26474921;32793533;11313315		False	3	100;0;0	1.4452	True		ENSG00000005471	ENSG00000005471	HGNC:45													
ABCB6	gene	ABCB6	Expert Review Green;Victorian Clinical Genetics Services	Mendeliome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Pseudohyperkalemia, familial, 2, due to red cell leak, MIM# 609153;Microphthalmia, isolated, with coloboma 7, MIM# 614497;Dyschromatosis universalis hereditaria 3, MIM# 615402				23180570;22226084;24281366		False	3	100;0;0	1.4452	True		ENSG00000115657	ENSG00000115657	HGNC:47													
ABCB7	gene	ABCB7	Expert Review Green;Victorian Clinical Genetics Services	Mendeliome			X-LINKED: hemizygous mutation in males, biallelic mutations in females	Anaemia, sideroblastic, with ataxia, MIM# 301310				10196363;10196363;33157103;31772327;31511561;26242992		False	3	100;0;0	1.4452	True		ENSG00000131269	ENSG00000131269	HGNC:48													
ABCC2	gene	ABCC2	Expert Review Green;Victorian Clinical Genetics Services	Mendeliome			BIALLELIC, autosomal or pseudoautosomal	Dubin-Johnson syndrome, MIM# 237500						False	3	100;0;0	1.4452	True		ENSG00000023839	ENSG00000023839	HGNC:53													
ABCC6	gene	ABCC6	Expert Review Green;Victorian Clinical Genetics Services	Mendeliome			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Arterial calcification, generalized, of infancy, 2, MIM# 614473;Pseudoxanthoma elasticum, MIM# 264800;Pseudoxanthoma elasticum, forme fruste, MIM#177850				11536079;28102862;33005041;34355424		False	3	100;0;0	1.4452	True		ENSG00000091262	ENSG00000091262	HGNC:57													
ABCC8	gene	ABCC8	Expert list;Expert Review Green	Mendeliome			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Maturity-onset diabetes of the young, type 12, MIM# 621196;Diabetes mellitus, noninsulin-dependent MIM#125853;Diabetes mellitus, permanent neonatal 3, with or without neurologic features MIM#618857;Diabetes mellitus, transient neonatal 2 MIM#610374;Hyperinsulinemic hypoglycemia, familial, 1 MIM#256450;Hypoglycemia of infancy, leucine-sensitive MIM#240800;Pulmonary arterial hypertension, MONDO:0015924, ABCC8-related				21054355, 32027066, 32376986, 30354297, 35811711, 32934261, 31727138		False	3	100;0;0	1.4452	True		ENSG00000006071	ENSG00000006071	HGNC:59													
ABCC9	gene	ABCC9	Expert Review Green;Victorian Clinical Genetics Services	Mendeliome			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Hypertrichotic osteochondrodysplasia, MIM# 239850;Cantu syndrome;Intellectual disability and myopathy syndrome, MIM# 619719				31575858;22610116;22608503		False	3	100;0;0	1.4452	True		ENSG00000069431	ENSG00000069431	HGNC:60													
